timestamp,ground_truth_x,ground_truth_y,ground_truth_cell,rssi_A,rssi_B,rssi_C,rssi_D,rssiA_mean,rssiA_median,rssiA_std,rssiA_min,rssiA_max,rssiA_q25,rssiA_q75,rssiA_outliers,rssiB_mean,rssiB_median,rssiB_std,rssiB_min,rssiB_max,rssiB_q25,rssiB_q75,rssiB_outliers,rssiC_mean,rssiC_median,rssiC_std,rssiC_min,rssiC_max,rssiC_q25,rssiC_q75,rssiC_outliers,rssiD_mean,rssiD_median,rssiD_std,rssiD_min,rssiD_max,rssiD_q25,rssiD_q75,rssiD_outliers,anchors_valid,sample_number,collection_time_ms,beacon_moving,environment,notes
2025-12-14T22:31:25.623911,3.0,9.0,B5,-78,-75,-76,-77,-79,-79,1.4,-81,-77,-80,-78,0,-74,-77,5.0,-79,-67,-78,-68,0,-78,-76,3.5,-83,-74,-82,-75,0,-77,-78,1.6,-79,-74,-78,-76,0,4,1,17701,false,basement_parking,
2025-12-14T22:31:38.518833,3.0,9.0,B5,-80,-71,-78,-76,-79,-79,1.7,-82,-77,-81,-78,0,-71,-68,4.8,-78,-67,-77,-67,0,-78,-76,3.4,-83,-74,-81,-75,0,-76,-76,2.0,-79,-74,-79,-75,0,4,2,11892,false,basement_parking,
2025-12-14T22:31:50.568552,3.0,9.0,B5,-79,-71,-78,-76,-79,-79,1.5,-82,-77,-80,-78,0,-70,-67,4.9,-78,-67,-77,-67,0,-78,-75,3.2,-83,-75,-81,-75,0,-76,-75,1.8,-79,-75,-78,-75,0,4,3,11047,false,basement_parking,
2025-12-14T22:32:03.547891,3.0,9.0,B5,-79,-75,-76,-75,-79,-79,1.3,-82,-78,-80,-79,2,-74,-77,5.3,-79,-67,-78,-67,0,-76,-76,2.5,-82,-74,-76,-74,1,-76,-75,2.0,-79,-74,-79,-75,0,4,4,11977,false,basement_parking,
2025-12-14T22:32:15.554998,3.0,9.0,B5,-79,-73,-81,-77,-79,-79,1.2,-81,-77,-80,-78,0,-72,-77,5.1,-78,-67,-78,-67,0,-78,-81,3.5,-83,-74,-82,-75,0,-76,-78,2.1,-79,-73,-78,-75,0,4,5,11004,false,basement_parking,
2025-12-14T22:32:39.637689,3.0,9.0,B5,-80,-77,-78,-76,-79,-79,1.1,-82,-77,-80,-78,0,-72,-68,5.0,-78,-67,-77,-67,0,-76,-75,3.5,-83,-73,-81,-74,0,-77,-76,2.1,-80,-74,-79,-76,0,4,6,23080,false,basement_parking,
2025-12-14T22:32:52.598917,3.0,9.0,B5,-79,-73,-77,-78,-79,-79,1.0,-81,-77,-80,-78,0,-72,-68,4.9,-79,-67,-77,-68,0,-77,-75,3.3,-83,-74,-81,-74,0,-78,-78,1.5,-80,-75,-79,-78,1,4,7,11959,false,basement_parking,
2025-12-14T22:33:05.560410,3.0,9.0,B5,-78,-73,-77,-77,-79,-79,1.0,-81,-77,-80,-78,0,-73,-77,4.7,-78,-67,-77,-68,0,-77,-76,3.3,-83,-74,-82,-74,0,-77,-78,2.0,-80,-74,-79,-76,0,4,8,11959,false,basement_parking,
2025-12-14T22:33:18.509073,3.0,9.0,B5,-77,-73,-77,-77,-79,-79,1.7,-82,-77,-80,-78,0,-73,-77,5.4,-79,-67,-78,-67,0,-77,-74,4.3,-83,-73,-81,-73,0,-77,-78,2.1,-80,-75,-80,-75,0,4,9,11946,false,basement_parking,
2025-12-14T22:33:31.578630,3.0,9.0,B5,-79,-74,-78,-78,-79,-79,1.3,-82,-78,-80,-78,0,-71,-68,5.4,-79,-67,-78,-67,0,-78,-75,4.1,-83,-74,-83,-74,0,-77,-79,2.3,-80,-74,-80,-75,0,4,10,12067,false,basement_parking,
